date,value
1990-01-01,18843.0218987778
1990-02-01,19916.0912418852
1990-03-01,22271.7908265473
1990-04-01,24113.8877658674
1990-05-01,25250.3873050027
1990-06-01,24369.2848972675
1990-07-01,25455.6318247617
1990-08-01,26122.9388798803
1990-09-01,26843.5717866592
1990-10-01,26666.3020088136
1990-11-01,26980.0206166446
1990-12-01,29586.1611586121
1991-01-01,30733.6025997877
1991-02-01,32348.3545656003
1991-03-01,34093.608182883
1991-04-01,33924.7161513502
1991-05-01,35585.4363100027
1991-06-01,36140.0262113206
1991-07-01,38575.8464822177
1991-08-01,39853.3141252758
1991-09-01,40921.0943912449
1991-10-01,41480.0568469096
1991-11-01,43060.1884682296
1991-12-01,43674.2991031198
1992-01-01,42863.9209809264
1992-02-01,44381.4210119311
1992-03-01,44455.8984910837
1992-04-01,46311.4130619401
1992-05-01,48828.9408799587
1992-06-01,46123.9488929916
1992-07-01,26454.2775114089
1992-08-01,25433.7855183356
1992-09-01,24300.5398845293
1992-10-01,23845.1823217625
1992-11-01,23275.9666401906
1992-12-01,20620.3619151072
1993-01-01,21291.1956056105
1993-02-01,21434.8941089048
1993-03-01,20965.0289328395
1993-04-01,20815.6974929863
1993-05-01,20654.1157818953
1993-06-01,20059.170869055
1993-07-01,20207.8625090571
1993-08-01,20375.7540928919
1993-09-01,20847.1158649625
1993-10-01,20911.0794697216
1993-11-01,22076.2418031411
1993-12-01,22386.8492435518
1994-01-01,26355.0026288031
1994-02-01,29065.1142945099
1994-03-01,29826.4625859565
1994-04-01,31368.8510292933
1994-05-01,31779.9440153072
1994-06-01,33100.3238783834
1994-07-01,36373.3989423732
1994-08-01,37561.6590662324
1994-09-01,41242.2886662382
1994-10-01,45004.1762384763
1994-11-01,50293.5046571998
1994-12-01,52914.0628843961
1995-01-01,56098.0045807343
1995-02-01,58718.6180460184
1995-03-01,59351.5649143833
1995-04-01,61406.2619837506
1995-05-01,62157.7948307
1995-06-01,64226.8603476054
1995-07-01,67194.7521256488
1995-08-01,69086.9732410973
1995-09-01,71426.1819783994
1995-10-01,74656.3172369884
1995-11-01,76150.9534196291
1995-12-01,75376.7028695104
1996-01-01,77862.6213822107
1996-02-01,81560.6824941767
1996-03-01,82701.2262608403
1996-04-01,83681.8711771112
1996-05-01,86895.1129462122
1996-06-01,88605.8899337074
1996-07-01,91713.496132438
1996-08-01,95214.9781541121
1996-09-01,97362.3188014037
1996-10-01,100858.840427332
1996-11-01,104325.7391108382
1996-12-01,107039.4250394
1997-01-01,110628.8925484749
1997-02-01,112219.437391715
1997-03-01,113962.1156095579
1997-04-01,116285.6792581911
1997-05-01,119475.7538778868
1997-06-01,122825.295788803
1997-07-01,127821.081334922
1997-08-01,132289.3700116995
1997-09-01,136024.3370080288
1997-10-01,139901.3065215526
1997-11-01,141254.7688032564
1997-12-01,142762.4677461573
1998-01-01,143686.9886330461
1998-02-01,143734.2125971494
1998-03-01,143982.0680086084
1998-04-01,143375.2745333836
1998-05-01,144253.309729869
1998-06-01,143956.9165122076
1998-07-01,144240.917280558
1998-08-01,144566.4171823031
1998-09-01,145015.6922066364
1998-10-01,147711.1667556274
1998-11-01,148636.6110377323
1998-12-01,149187.8957231261
1999-01-01,149207.7681132833
1999-02-01,150410.6736260375
1999-03-01,150496.5203683009
1999-04-01,150727.0439931952
1999-05-01,150372.7694379471
1999-06-01,150565.3320526762
1999-07-01,152327.5583417232
1999-08-01,153996.0990501422
1999-09-01,154730.8137023484
1999-10-01,156021.7443887554
1999-11-01,156816.4561993409
1999-12-01,157727.8744919989
2000-01-01,159038.6792871966
2000-02-01,159491.071781376
2000-03-01,159768.6976227676
2000-04-01,159503.2214424231
2000-05-01,160700.953111738
2000-06-01,161285.0292783908
2000-07-01,161366.852599243
2000-08-01,161723.9184514132
2000-09-01,162584.7380623273
2000-10-01,163801.1161733306
2000-11-01,166363.1928986786
2000-12-01,168277.5832258434
2001-01-01,171297.9964648215
2001-02-01,178004.3362750078
2001-03-01,178890.6071219213
2001-04-01,180226.3917994377
2001-05-01,182044.2446642126
2001-06-01,183861.426269471
2001-07-01,187518.4670204557
2001-08-01,193173.3256907148
2001-09-01,199284.4593266219
2001-10-01,206519.6012095713
2001-11-01,211793.1868591273
2001-12-01,215605.1276171398
2002-01-01,220749.3520211147
2002-02-01,226702.7144410948
2002-03-01,230869.7799898003
2002-04-01,237171.0814932571
2002-05-01,241895.9958324621
2002-06-01,246749.0332123941
2002-07-01,250497.7044447354
2002-08-01,257203.8443583331
2002-09-01,262963.7520835731
2002-10-01,269869.2811367112
2002-11-01,278983.3172939041
2002-12-01,291127.8282052119
2003-01-01,309214.8046769393
2003-02-01,312923.7578576951
2003-03-01,320871.1320554351
2003-04-01,331066.1257160018
2003-05-01,344978.6555763657
2003-06-01,351364.071440979
2003-07-01,361340.2617083648
2003-08-01,369553.4574507352
2003-09-01,388880.947314992
2003-10-01,405995.353781041
2003-11-01,425427.3301436031
2003-12-01,408150.6590485927
2004-01-01,420607.5083123851
2004-02-01,431539.4300383931
2004-03-01,444427.2179195253
2004-04-01,453536.5266084482
2004-05-01,463079.6045365949
2004-06-01,475113.8266427184
2004-07-01,487419.5012901138
2004-08-01,500639.910579794
2004-09-01,519001.1072923797
2004-10-01,546984.983381544
2004-11-01,578446.7364525513
2004-12-01,614499.5243496005
2005-01-01,627984.7387578477
2005-02-01,647002.5820227163
2005-03-01,663190.3526341235
2005-04-01,674843.153489127
2005-05-01,695037.3457096037
2005-06-01,714950.1543063316
2005-07-01,736337.7275448841
2005-08-01,756562.1619353351
2005-09-01,772265.4612790074
2005-10-01,788161.7623846977
2005-11-01,797452.7106286137
2005-12-01,821513.8496955663
2006-01-01,847811.045425966
2006-02-01,856228.3096773915
2006-03-01,877636.6743343655
2006-04-01,897492.4276156586
2006-05-01,927527.6356051358
2006-06-01,943610.1280482392
2006-07-01,957068.5473634696
2006-08-01,974583.8495294772
2006-09-01,990451.042782375
2006-10-01,1012004.36698892
2006-11-01,1040927.094291745
2006-12-01,1068493.0298698987
2007-01-01,1106814.556813814
2007-02-01,1159368.964894181
2007-03-01,1204035.013025507
2007-04-01,1248568.504822867
2007-05-01,1294638.174388511
2007-06-01,1334590.643471048
2007-07-01,1387187.806107627
2007-08-01,1410611.663166747
2007-09-01,1435612.758191484
2007-10-01,1456922.1537596807
2007-11-01,1498941.891514487
2007-12-01,1530281.623043368
2008-01-01,1591861.828004882
2008-02-01,1649221.313367284
2008-03-01,1684280.184548947
2008-04-01,1758731.659415407
2008-05-01,1799217.17869379
2008-06-01,1811063.3777328352
2008-07-01,1847384.575033876
2008-08-01,1886314.079909826
2008-09-01,1907729.4604130688
2008-10-01,1881712.894738722
2008-11-01,1887930.4642269928
2008-12-01,1949259.953570114
2009-01-01,1916573.5645927952
2009-02-01,1915104.66791197
2009-03-01,1956829.621509936
2009-04-01,2011977.46006932
2009-05-01,2093082.505038902
2009-06-01,2135201.111303932
2009-07-01,2178216.984802214
2009-08-01,2223850.564073893
2009-09-01,2288469.2964998
2009-10-01,2344287.1667254926
2009-11-01,2405300.400242107
2009-12-01,2416043.687067792
2010-01-01,2431961.070613906
2010-02-01,2441208.181740356
2010-03-01,2463547.3333921153
2010-04-01,2506900.072697435
2010-05-01,2456191.4101249487
2010-06-01,2471211.238535597
2010-07-01,2556433.043592169
2010-08-01,2565270.1578376526
2010-09-01,2666868.0353093394
2010-10-01,2779799.819698469
2010-11-01,2786104.341166853
2010-12-01,2866079.316315374
2011-01-01,2952375.231793275
2011-02-01,3012155.330585741
2011-03-01,3067170.82174377
2011-04-01,3168475.712079074
2011-05-01,3188318.664663038
2011-06-01,3219760.439983195
2011-07-01,3267381.8288761433
2011-08-01,3284372.711840706
2011-09-01,3222986.860297115
2011-10-01,3295496.0150280073
2011-11-01,3242161.711886786
2011-12-01,3202788.47356349
2012-01-01,3275782.9090769487
2012-02-01,3331301.913099224
2012-03-01,3326601.4600351327
2012-04-01,3320613.104418437
2012-05-01,3226641.241343585
2012-06-01,3260684.0079959566
2012-07-01,3260210.087164999
2012-08-01,3292652.89868711
2012-09-01,3305307.033211038
2012-10-01,3307207.434359045
2012-11-01,3317109.771593932
2012-12-01,3331120.0137738152
2013-01-01,3430093.730753343
2013-02-01,3414507.258105856
2013-03-01,3461598.812669409
2013-04-01,3553491.229423668
2013-05-01,3533032.6979294526
2013-06-01,3515214.991292081
2013-07-01,3566613.026736236
2013-08-01,3571166.0004864032
2013-09-01,3681034.3660614714
2013-10-01,3754808.12510574
2013-11-01,3807719.592281287
2013-12-01,3839547.760252929
2014-01-01,3884644.3047216577
2014-02-01,3931977.425748912
2014-03-01,3966050.550652472
2014-04-01,3996796.527613011
2014-05-01,4001511.5003658193
2014-06-01,4010833.6082830713
2014-07-01,3984242.5736623504
2014-08-01,3986410.9099006974
2014-09-01,3904950.286982852
2014-10-01,3869760.770718172
2014-11-01,3864037.2215673234
2014-12-01,3859167.962991087
2015-01-01,3829024.270329457
2015-02-01,3816861.9884070554
2015-03-01,3744729.0009252946
2015-04-01,3763465.0106367273
2015-05-01,3726293.544687241
2015-06-01,3708950.6109749246
2015-07-01,3666142.439312413
2015-08-01,3572636.799868604
2015-09-01,3529276.375482359
2015-10-01,3540505.958348001
2015-11-01,3453059.087782923
2015-12-01,3345193.763888138
2016-01-01,3244925.230188148
2016-02-01,3223325.317975877
2016-03-01,3233786.804424821
2016-04-01,3240866.528819988
2016-05-01,3212599.115487781
2016-06-01,3226017.214130842
2016-07-01,3221190.12194031
2016-08-01,3205213.406222113
2016-09-01,3186399.5897647766
2016-10-01,3140566.612912533
2016-11-01,3071217.011627466
2016-12-01,3029775.305378402
2017-01-01,3017673.9281057394
2017-02-01,3024529.863970344
2017-03-01,3028475.17207416
2017-04-01,3049091.076194642
2017-05-01,3073321.276484822
2017-06-01,3076295.07638857
2017-07-01,3099711.358139744
2017-08-01,3110825.110743316
2017-09-01,3127808.217855295
2017-10-01,3128204.724034033
2017-11-01,3138006.433870956
2017-12-01,3158876.9472130407
2018-01-01,3180492.335251878
2018-02-01,3153325.384104208
2018-03-01,3161783.550720971
2018-04-01,3143582.2224237113
2018-05-01,3128983.625399142
2018-06-01,3131516.989540726
2018-07-01,3137279.052217513
2018-08-01,3129124.601509576
2018-09-01,3106349.969057522
2018-10-01,3072488.044750478
2018-11-01,3081044.67262929
2018-12-01,3091881.257199085
2019-01-01,3107195.1416959646
2019-02-01,3109442.78919924
2019-03-01,3117892.634165405
2019-04-01,3114006.70531411
2019-05-01,3119969.247137996
2019-06-01,3138278.571356082
2019-07-01,3123085.567179514
2019-08-01,3126444.1226688633
2019-09-01,3111631.046532363
2019-10-01,3124582.849725088
2019-11-01,3114954.9500099546
2019-12-01,3127493.85803636
2020-01-01,3134967.867875997
2020-02-01,3125925.09976201
2020-03-01,3079722.207756422
2020-04-01,3111307.019946738
2020-05-01,3121640.261058128
2020-06-01,3132890.94428708
2020-07-01,3175529.57847756
2020-08-01,3185741.04735763
2020-09-01,3163405.4723116034
2020-10-01,3148891.687598462
2020-11-01,3199686.2234492414
2020-12-01,3238782.3714337153
2021-01-01,3232949.7605531528
2021-02-01,3227245.917564292
2021-03-01,3191634.6298325
2021-04-01,3220011.826967841
2021-05-01,3243778.695638983
2021-06-01,3235723.813196986
2021-07-01,3257656.7584847594
2021-08-01,3295312.46211408
2021-09-01,3264064.261108951
2021-10-01,3281736.3474022113
2021-11-01,3286139.765834594
2021-12-01,3313920.330628852
2022-01-01,3285770.4366578846
2022-02-01,3278104.546538228
2022-03-01,3251625.7770107
2022-04-01,3182038.725376405
2022-05-01,3190404.249582605
2022-06-01,3133187.683272344
2022-07-01,3165993.708767253
2022-08-01,3116343.160474002
2022-09-01,3089365.6205065
2022-10-01,3113218.611939762
2022-11-01,3178709.037405923
2022-12-01,3189689.1088137794
2023-01-01,3247415.1921716006
2023-02-01,3195596.163289116
2023-03-01,3247256.619665656
2023-04-01,3268238.791367294
2023-05-01,3239253.45951898
2023-06-01,3254813.1228722134
2023-07-01,3265263.5798248006
2023-08-01,3222723.059526834
2023-09-01,3176997.448662012
2023-10-01,3163119.247667408
2023-11-01,3234727.833688654
2023-12-01,3301319.7275189846
2024-01-01,3282504.851989175
2024-02-01,3289057.6205634447
2024-03-01,3308705.396781766
2024-04-01,3263670.212694032
2024-05-01,3295323.207775792
2024-06-01,3285272.784586002
2024-07-01,3319868.86211514
2024-08-01,3352918.4686564114
2024-09-01,3381380.836283216
2024-10-01,3324874.877335187
2024-11-01,3328994.42805694
2024-12-01,3264803.869739121
2025-01-01,3271795.650229343
2025-02-01,3290388.622571144
2025-03-01,3304657.890063751
2025-04-01,3347899.010333591
2025-05-01,3351776.68393033
2025-06-01,3384637.815629294
2025-07-01,3358432.868385326
2025-08-01,3389507.382909214
2025-09-01,3406001.382212175
2025-10-01,3409962.927573105
2025-11-01,3413146.8859184594
2025-12-01,3424872.582817944
2026-01-01,3466509.600162784
2026-02-01,3495039.995131957
2026-03-01,3408368.863294862
2026-04-01,3477516.923138242
