date,value
1993-02-01,257.0
1993-03-01,-43.0
1993-04-01,296.0
1993-05-01,271.0
1993-06-01,171.0
1993-07-01,312.0
1993-08-01,146.0
1993-09-01,248.0
1993-10-01,286.0
1993-11-01,253.0
1993-12-01,338.0
1994-01-01,276.0
1994-02-01,181.0
1994-03-01,463.0
1994-04-01,344.0
1994-05-01,333.0
1994-06-01,317.0
1994-07-01,369.0
1994-08-01,294.0
1994-09-01,344.0
1994-10-01,211.0
1994-11-01,410.0
1994-12-01,307.0
1995-01-01,331.0
1995-02-01,189.0
1995-03-01,214.0
1995-04-01,158.0
1995-05-01,-20.0
1995-06-01,245.0
1995-07-01,91.0
1995-08-01,264.0
1995-09-01,227.0
1995-10-01,153.0
1995-11-01,139.0
1995-12-01,160.0
1996-01-01,-8.0
1996-02-01,421.0
1996-03-01,254.0
1996-04-01,166.0
1996-05-01,339.0
1996-06-01,273.0
1996-07-01,249.0
1996-08-01,179.0
1996-09-01,202.0
1996-10-01,265.0
1996-11-01,282.0
1996-12-01,196.0
1997-01-01,213.0
1997-02-01,317.0
1997-03-01,318.0
1997-04-01,298.0
1997-05-01,271.0
1997-06-01,256.0
1997-07-01,298.0
1997-08-01,-27.0
1997-09-01,488.0
1997-10-01,349.0
1997-11-01,301.0
1997-12-01,324.0
1998-01-01,257.0
1998-02-01,211.0
1998-03-01,148.0
1998-04-01,280.0
1998-05-01,400.0
1998-06-01,231.0
1998-07-01,136.0
1998-08-01,334.0
1998-09-01,198.0
1998-10-01,205.0
1998-11-01,273.0
1998-12-01,373.0
1999-01-01,104.0
1999-02-01,418.0
1999-03-01,117.0
1999-04-01,361.0
1999-05-01,218.0
1999-06-01,271.0
1999-07-01,338.0
1999-08-01,150.0
1999-09-01,199.0
1999-10-01,407.0
1999-11-01,288.0
1999-12-01,317.0
2000-01-01,228.0
2000-02-01,109.0
2000-03-01,484.0
2000-04-01,280.0
2000-05-01,221.0
2000-06-01,-42.0
2000-07-01,165.0
2000-08-01,6.0
2000-09-01,103.0
2000-10-01,15.0
2000-11-01,204.0
2000-12-01,160.0
2001-01-01,-13.0
2001-02-01,85.0
2001-03-01,-37.0
