date,value
1998-12-22,16.0234375
1998-12-23,16.40625
1998-12-24,16.34375
1998-12-28,16.390625
1998-12-29,16.4375
1998-12-30,16.375
1998-12-31,16.3125
1999-01-04,16.5
1999-01-05,16.921875
1999-01-06,17.421875
1999-01-07,17.3671875
1999-01-08,17.4375
1999-01-11,17.609375
1999-01-12,17.1328125
1999-01-13,17.125
1999-01-14,16.890625
1999-01-15,17.390625
1999-01-19,17.9921875
1999-01-20,18.15625
1999-01-21,17.6875
1999-01-22,17.375
1999-01-25,17.6796875
1999-01-26,18.390625
1999-01-27,18.0
1999-01-28,18.6328125
1999-01-29,18.90625
1999-02-01,18.921875
1999-02-02,18.6015625
1999-02-03,18.734375
1999-02-04,18.09375
1999-02-05,17.65625
1999-02-08,17.953125
1999-02-09,17.25
1999-02-10,17.375
1999-02-11,18.109375
1999-02-12,17.390625
1999-02-16,17.3125
1999-02-17,16.921875
1999-02-18,17.015625
1999-02-19,17.171875
1999-02-22,17.78125
1999-02-23,18.015625
1999-02-24,17.515625
1999-02-25,17.5625
1999-02-26,17.03125
1999-03-01,16.953125
1999-03-02,16.5
1999-03-03,16.78125
1999-03-04,16.953125
1999-03-05,17.34375
1999-03-08,17.84375
1999-03-09,17.65625
1999-03-10,17.65625
1999-03-11,17.625
1999-03-12,17.46875
1999-03-15,17.75
1999-03-16,18.0546875
1999-03-17,17.9375
1999-03-18,18.1875
1999-03-19,17.75
1999-03-22,17.75
1999-03-23,17.234375
1999-03-24,17.5703125
1999-03-25,17.984375
1999-03-26,17.890625
1999-03-29,18.5625
1999-03-30,18.53125
1999-03-31,18.296875
1999-04-01,18.5859375
1999-04-05,19.2265625
1999-04-06,19.390625
1999-04-07,19.34375
1999-04-08,19.53125
1999-04-09,19.5
1999-04-12,19.203125
1999-04-13,18.90625
1999-04-14,18.4375
1999-04-15,18.59375
1999-04-16,18.09375
1999-04-19,17.21875
1999-04-20,17.65625
1999-04-21,18.125
1999-04-22,18.9609375
1999-04-23,19.0
1999-04-26,19.484375
1999-04-27,19.0
1999-04-28,18.75
1999-04-29,18.5546875
1999-04-30,18.40625
1999-05-03,18.5625
1999-05-04,18.28125
1999-05-05,18.65625
1999-05-06,18.1875
1999-05-07,18.5
1999-05-10,18.65625
1999-05-11,18.9375
1999-05-12,19.3125
1999-05-13,19.2578125
1999-05-14,18.75
1999-05-17,19.015625
1999-05-18,19.1875
1999-05-19,19.25
1999-05-20,19.0
1999-05-21,18.78125
1999-05-24,18.375
1999-05-25,17.9921875
1999-05-26,18.3671875
1999-05-27,18.234375
1999-05-28,18.46875
1999-06-01,18.0546875
1999-06-02,18.25
1999-06-03,18.125
1999-06-04,18.6640625
1999-06-07,19.0
1999-06-08,18.5625
1999-06-09,18.84375
1999-06-10,18.5625
1999-06-11,18.3125
1999-06-14,18.2265625
1999-06-15,18.390625
1999-06-16,19.1484375
1999-06-17,19.359375
1999-06-18,19.53125
1999-06-21,20.0234375
1999-06-22,19.6015625
1999-06-23,19.75
1999-06-24,19.34375
1999-06-25,19.3671875
1999-06-28,19.6875
1999-06-29,19.9375
1999-06-30,20.2421875
1999-07-01,20.46875
1999-07-02,20.734375
1999-07-06,20.6171875
1999-07-07,20.859375
1999-07-08,21.140625
1999-07-09,21.3671875
1999-07-12,21.3984375
1999-07-13,21.3046875
1999-07-14,21.5703125
1999-07-15,21.7265625
1999-07-16,21.921875
1999-07-19,21.65625
1999-07-20,20.7578125
1999-07-21,20.9375
1999-07-22,20.2890625
1999-07-23,20.34375
1999-07-26,19.8828125
1999-07-27,20.375
1999-07-28,20.5625
1999-07-29,20.21875
1999-07-30,20.0078125
1999-08-02,19.96875
1999-08-03,19.890625
1999-08-04,19.6484375
1999-08-05,19.8046875
1999-08-06,19.8125
1999-08-09,19.5859375
1999-08-10,19.2578125
1999-08-11,19.875
1999-08-12,19.625
1999-08-13,20.25
1999-08-16,20.3125
1999-08-17,20.40625
1999-08-18,20.171875
1999-08-19,19.96875
1999-08-20,20.03125
1999-08-23,20.4921875
1999-08-24,20.8125
1999-08-25,21.25
1999-08-26,20.9921875
1999-08-27,20.875
1999-08-30,20.53125
1999-08-31,20.7109375
1999-09-01,20.8203125
1999-09-02,20.7421875
1999-09-03,21.5
1999-09-07,21.5078125
1999-09-08,21.359375
1999-09-09,21.546875
1999-09-10,21.78125
1999-09-13,21.484375
1999-09-14,21.71875
1999-09-15,21.265625
1999-09-16,21.171875
1999-09-17,21.59375
1999-09-20,21.6875
1999-09-21,21.2421875
1999-09-22,21.28125
1999-09-23,20.5
1999-09-24,20.546875
1999-09-27,20.7578125
1999-09-28,20.8515625
1999-09-29,20.46875
1999-09-30,20.625
1999-10-01,20.5
1999-10-04,21.0
1999-10-05,21.125
1999-10-06,21.3828125
1999-10-07,21.2734375
1999-10-08,21.2578125
1999-10-11,21.46875
1999-10-12,21.0859375
1999-10-13,20.53125
1999-10-14,20.4140625
1999-10-15,19.9296875
1999-10-18,19.75
1999-10-19,19.4375
1999-10-20,20.21875
1999-10-21,19.890625
1999-10-22,19.9375
1999-10-25,19.9921875
1999-10-26,20.0
1999-10-27,19.9765625
1999-10-28,20.4921875
1999-10-29,21.25
1999-11-01,21.21875
1999-11-02,21.125
1999-11-03,21.4375
1999-11-04,21.6015625
1999-11-05,21.8359375
1999-11-08,22.0546875
1999-11-09,21.8125
1999-11-10,22.1953125
1999-11-11,22.5
1999-11-12,22.625
1999-11-15,22.5234375
1999-11-16,23.0
1999-11-17,22.78125
1999-11-18,23.5546875
1999-11-19,23.7734375
1999-11-22,23.921875
1999-11-23,23.7109375
1999-11-24,24.078125
1999-11-26,24.265625
1999-11-29,24.0546875
1999-11-30,23.3359375
1999-12-01,23.5625
1999-12-02,24.125
1999-12-03,24.8125
1999-12-06,24.984375
1999-12-07,25.046875
1999-12-08,24.78125
1999-12-09,24.71875
1999-12-10,24.84375
1999-12-13,25.0078125
1999-12-14,24.53125
1999-12-15,25.03125
1999-12-16,25.5
1999-12-17,25.78125
1999-12-20,26.03125
